Arrived 1900-1945,Arrived 1946-1955,Arrived 1956-1965,Arrived 1966-1975,Arrived 1976-1985,Arrived 1986-1995,Arrived 1996-2005,Arrived 2006-2015,Total,State Native,State,Country of Origin
93,2222,4384,7400,2445,1510,1470,1792,22166,448728,Tasmania,"United Kingdom, Channel Islands and Isle of Man"
0,0,17,97,42,85,59,192,522,448728,Tasmania,South America
52,203,1337,5012,8037,10081,18099,20145,65540,5407771,New South Wales,Southern and East Africa
1990,31868,55617,96270,96441,124029,178917,369189,4703192,3687318,Queensland,Total
7,59,187,1207,619,544,756,1515,5138,17238226,Total,Caribbean
14,81,177,1603,35103,32295,19546,38410,135642,5407771,New South Wales,Mainland South-East Asia
6,23,95,434,274,301,468,747,2460,448728,Tasmania,Northern America
210,194,732,1989,1363,684,575,772,6918,5407771,New South Wales,Melanesia
41,508,1233,2345,1225,2063,1640,5886,15621,4246361,Victoria,Ireland
48,1599,1124,1085,2178,2472,2401,4948,16556,3687318,Queensland,Eastern Europe
174,4942,9187,3548,747,463,308,924,21358,1292558,South Australia,Southern Europe
3,3,9,4,8,13,10,26,106,183429,Northern Territory,Supplementary codes
9,10,73,264,129,84,53,120,826,292235,Australian Capital Territory,Melanesia
5,266,850,1506,588,508,638,1947,6718,183429,Northern Territory,"United Kingdom, Channel Islands and Isle of Man"
65,2233,5921,4393,1055,2003,3084,1158,20663,1292558,South Australia,South Eastern Europe
0,0,4,36,335,382,349,1044,2353,183429,Northern Territory,Mainland South-East Asia
480,20262,35968,19159,4355,2252,1608,5685,94757,4246361,Victoria,Southern Europe
11,39,185,3464,4498,3640,2358,9271,25589,4246361,Victoria,South America
0,43,74,141,117,135,281,398,1362,1676721,Western Australia,Supplementary codes
199,5034,6446,4624,1418,928,704,3395,24092,1676721,Western Australia,Southern Europe
0,4,0,13,5,10,3,27,74,292235,Australian Capital Territory,Caribbean
0,8,26,222,1563,1223,914,2012,6316,292235,Australian Capital Territory,Mainland South-East Asia
0,0,3,0,3,0,0,17,38,292235,Australian Capital Territory,Micronesia
37,672,3890,6641,2852,3321,3921,7036,30433,17238226,Total,Northern Europe
4,18,180,221,299,279,615,980,2745,448728,Tasmania,Southern and East Africa
48,358,727,5855,82292,82343,48704,118314,361804,17238226,Total,Mainland South-East Asia
9,6,36,51,51,40,91,78,386,4246361,Victoria,Micronesia
0,0,0,3,3,145,24,33,218,448728,Tasmania,Central America
84,386,1223,4458,3889,5178,8503,16506,43523,5407771,New South Wales,Northern America
709,12541,27981,46324,21950,20943,28714,46828,214370,3687318,Queensland,"United Kingdom, Channel Islands and Isle of Man"
1503,23720,35862,93429,71895,95178,119054,316405,2474414,1676721,Western Australia,Total
0,49,263,380,184,101,152,465,1685,183429,Northern Territory,South Eastern Europe
13,52,231,599,858,1318,1285,3569,8642,292235,Australian Capital Territory,Maritime South-East Asia
6,4,23,135,735,1605,444,1274,4493,5407771,New South Wales,Central America
0,0,0,0,0,4,12,247,319,448728,Tasmania,Central Asia
36,432,650,2064,1462,3662,8472,49557,72148,3687318,Queensland,Southern Asia
3357,68954,131201,168924,139702,204720,254016,601611,5926624,4246361,Victoria,Total
9,152,289,2101,5429,6669,4138,12966,33841,1676721,Western Australia,Mainland South-East Asia
3,29,98,510,432,529,697,1398,3948,292235,Australian Capital Territory,Northern America
3,267,168,113,234,193,135,189,1372,448728,Tasmania,Eastern Europe
164,542,1904,7051,19483,39823,33003,54398,165567,5407771,New South Wales,Maritime South-East Asia
30,70,144,482,1141,3744,5908,22830,38201,1676721,Western Australia,Chinese Asia (includes Mongolia)
10,20,55,76,161,366,345,433,1539,1292558,South Australia,Polynesia (excludes Hawaii)
181,3655,7151,11164,9141,12455,16453,38392,397393,292235,Australian Capital Territory,Total
580,15352,10748,7795,19554,22042,16024,26501,124056,17238226,Total,Eastern Europe
0,46,309,451,137,157,210,265,1659,1292558,South Australia,Northern Europe
16,139,1081,2749,5218,6472,18082,36552,72963,1676721,Western Australia,Southern and East Africa
0,18,64,329,204,173,242,387,1498,5407771,New South Wales,Caribbean
52,109,373,1360,2704,2437,2422,2833,12933,1292558,South Australia,New Zealand
10,130,402,816,281,385,268,867,3301,1292558,South Australia,Ireland
163,157,904,3810,3241,2089,2265,4187,18111,3687318,Queensland,Melanesia
0,28,37,63,29,75,390,441,1127,292235,Australian Capital Territory,North Africa
68,1167,2809,4153,1723,1342,1421,2415,15568,292235,Australian Capital Territory,"United Kingdom, Channel Islands and Isle of Man"
32,699,1828,3974,4052,4063,5198,21805,228838,183429,Northern Territory,Total
0,8,12,69,32,54,62,730,1022,183429,Northern Territory,Ireland
