Age_Bracket,State,Male,Female,Total
80-84,South Australia,17430,21942,39371
80-84,Western Australia,18804,23786,42588
80-84,Tasmania,5345,6650,11992
80-84,Northern Territory,573,689,1256
80-84,Australian Capital Territory,2546,3292,5837
80-84,Other Territories,27,35,68
85-89,New South Wales,42324,63884,106207
85-89,Victoria,32457,48804,81266
85-89,Queensland,21792,32752,54550
85-89,South Australia,11025,16667,27689
85-89,Western Australia,11001,16187,27186
85-89,Tasmania,3040,4520,7560
85-89,Northern Territory,296,375,671
85-89,Australian Capital Territory,1549,2253,3803
85-89,Other Territories,15,19,36
90-94,New South Wales,16121,32484,48604
90-94,Victoria,12431,24290,36726
90-94,Queensland,8108,16163,24271
90-94,South Australia,4356,8908,13261
90-94,Western Australia,4019,8025,12043
90-94,Tasmania,1084,2304,3388
90-94,Northern Territory,79,138,213
90-94,Australian Capital Territory,627,1256,1877
90-94,Other Territories,6,12,15
95-99,New South Wales,3115,8560,11673
95-99,Victoria,2416,6430,8853
95-99,Queensland,1702,4299,5998
95-99,South Australia,867,2313,3183
95-99,Western Australia,783,2204,2992
95-99,Tasmania,207,536,742
95-99,Northern Territory,18,30,52
95-99,Australian Capital Territory,134,286,424
95-99,Other Territories,3,0,7
100 plus,New South Wales,190,831,1025
100 plus,Victoria,258,896,1155
100 plus,Queensland,174,542,711
100 plus,South Australia,91,262,353
100 plus,Western Australia,43,167,204
100 plus,Tasmania,16,51,67
100 plus,Northern Territory,0,0,0
100 plus,Australian Capital Territory,11,42,53
100 plus,Other Territories,0,0,0
Total,New South Wales,3686007,3794216,7480230
Total,Victoria,2908079,3018545,5926624
Total,Queensland,2321885,2381302,4703192
Total,South Australia,826001,850653,1676653
Total,Western Australia,1238418,1235996,2474414
Total,Tasmania,249476,260480,509961
Total,Northern Territory,118568,110269,228838
Total,Australian Capital Territory,195743,201660,397393
Total,Other Territories,2463,2119,4583
