Year_Range,Migration_val,Total,Total_Imm,State_Native,Total_Pop,state,Country_Origin
1946-1955,123,18451,1013715,3687318,4701033,Queensland,Middle East
1956-1965,224,18451,1013715,3687318,4701033,Queensland,Middle East
1966-1975,947,18451,1013715,3687318,4701033,Queensland,Middle East
1976-1985,935,18451,1013715,3687318,4701033,Queensland,Middle East
1986-1995,1508,18451,1013715,3687318,4701033,Queensland,Middle East
1996-2005,2600,18451,1013715,3687318,4701033,Queensland,Middle East
2006-2015,29444,104640,6148891,17238226,23387117,Total,Polynesia (excludes Hawaii)
1900-1945,162,104640,6148891,17238226,23387117,Total,Polynesia (excludes Hawaii)
1946-1955,323,104640,6148891,17238226,23387117,Total,Polynesia (excludes Hawaii)
1956-1965,1021,104640,6148891,17238226,23387117,Total,Polynesia (excludes Hawaii)
1966-1975,3048,104640,6148891,17238226,23387117,Total,Polynesia (excludes Hawaii)
1976-1985,10536,104640,6148891,17238226,23387117,Total,Polynesia (excludes Hawaii)
1986-1995,27775,104640,6148891,17238226,23387117,Total,Polynesia (excludes Hawaii)
1996-2005,26954,104640,6148891,17238226,23387117,Total,Polynesia (excludes Hawaii)
2006-2015,104806,193152,1675076,4246361,5921437,Victoria,Chinese Asia (includes Mongolia)
1900-1945,96,193152,1675076,4246361,5921437,Victoria,Chinese Asia (includes Mongolia)
1946-1955,365,193152,1675076,4246361,5921437,Victoria,Chinese Asia (includes Mongolia)
1956-1965,1271,193152,1675076,4246361,5921437,Victoria,Chinese Asia (includes Mongolia)
1966-1975,1722,193152,1675076,4246361,5921437,Victoria,Chinese Asia (includes Mongolia)
1976-1985,5624,193152,1675076,4246361,5921437,Victoria,Chinese Asia (includes Mongolia)
1986-1995,24808,193152,1675076,4246361,5921437,Victoria,Chinese Asia (includes Mongolia)
1996-2005,35396,193152,1675076,4246361,5921437,Victoria,Chinese Asia (includes Mongolia)
2006-2015,20222,70996,6148891,17238226,23387117,Total,North Africa
1900-1945,58,70996,6148891,17238226,23387117,Total,North Africa
1946-1955,2918,70996,6148891,17238226,23387117,Total,North Africa
1956-1965,6005,70996,6148891,17238226,23387117,Total,North Africa
1966-1975,8199,70996,6148891,17238226,23387117,Total,North Africa
1976-1985,2817,70996,6148891,17238226,23387117,Total,North Africa
1986-1995,8167,70996,6148891,17238226,23387117,Total,North Africa
1996-2005,19351,70996,6148891,17238226,23387117,Total,North Africa
2006-2015,2476,9708,2067794,5407771,7475565,New South Wales,Northern Europe
1900-1945,11,9708,2067794,5407771,7475565,New South Wales,Northern Europe
1946-1955,217,9708,2067794,5407771,7475565,New South Wales,Northern Europe
1956-1965,1125,9708,2067794,5407771,7475565,New South Wales,Northern Europe
1966-1975,1980,9708,2067794,5407771,7475565,New South Wales,Northern Europe
1976-1985,777,9708,2067794,5407771,7475565,New South Wales,Northern Europe
1986-1995,1088,9708,2067794,5407771,7475565,New South Wales,Northern Europe
1996-2005,1329,9708,2067794,5407771,7475565,New South Wales,Northern Europe
2006-2015,2847,4073,1013715,3687318,4701033,Queensland,Central Asia
1900-1945,0,4073,1013715,3687318,4701033,Queensland,Central Asia
1946-1955,3,4073,1013715,3687318,4701033,Queensland,Central Asia
1956-1965,0,4073,1013715,3687318,4701033,Queensland,Central Asia
1966-1975,9,4073,1013715,3687318,4701033,Queensland,Central Asia
1976-1985,33,4073,1013715,3687318,4701033,Queensland,Central Asia
1986-1995,209,4073,1013715,3687318,4701033,Queensland,Central Asia
1996-2005,733,4073,1013715,3687318,4701033,Queensland,Central Asia
2006-2015,44416,114600,6148891,17238226,23387117,Total,South America
1900-1945,32,114600,6148891,17238226,23387117,Total,South America
1946-1955,177,114600,6148891,17238226,23387117,Total,South America
1956-1965,709,114600,6148891,17238226,23387117,Total,South America
1966-1975,17153,114600,6148891,17238226,23387117,Total,South America
1976-1985,14677,114600,6148891,17238226,23387117,Total,South America
1986-1995,14891,114600,6148891,17238226,23387117,Total,South America
1996-2005,12569,114600,6148891,17238226,23387117,Total,South America
2006-2015,71,199,383274,1292558,1675832,South Australia,Caribbean
1900-1945,0,199,383274,1292558,1675832,South Australia,Caribbean
1946-1955,0,199,383274,1292558,1675832,South Australia,Caribbean
1956-1965,14,199,383274,1292558,1675832,South Australia,Caribbean
1966-1975,40,199,383274,1292558,1675832,South Australia,Caribbean
1976-1985,14,199,383274,1292558,1675832,South Australia,Caribbean
1986-1995,14,199,383274,1292558,1675832,South Australia,Caribbean
1996-2005,27,199,383274,1292558,1675832,South Australia,Caribbean
2006-2015,148,676,61071,448728,509799,Tasmania,Ireland
1900-1945,0,676,61071,448728,509799,Tasmania,Ireland
1946-1955,31,676,61071,448728,509799,Tasmania,Ireland
1956-1965,61,676,61071,448728,509799,Tasmania,Ireland
1966-1975,157,676,61071,448728,509799,Tasmania,Ireland
1976-1985,90,676,61071,448728,509799,Tasmania,Ireland
1986-1995,90,676,61071,448728,509799,Tasmania,Ireland
1996-2005,73,676,61071,448728,509799,Tasmania,Ireland
2006-2015,5507,9409,796296,1676721,2473017,Western Australia,South America
1900-1945,0,9409,796296,1676721,2473017,Western Australia,South America
1946-1955,18,9409,796296,1676721,2473017,Western Australia,South America
1956-1965,48,9409,796296,1676721,2473017,Western Australia,South America
1966-1975,642,9409,796296,1676721,2473017,Western Australia,South America
1976-1985,796,9409,796296,1676721,2473017,Western Australia,South America
1986-1995,689,9409,796296,1676721,2473017,Western Australia,South America
1996-2005,945,9409,796296,1676721,2473017,Western Australia,South America
2006-2015,913,3408,796296,1676721,2473017,Western Australia,Northern Europe
1900-1945,5,3408,796296,1676721,2473017,Western Australia,Northern Europe
1946-1955,41,3408,796296,1676721,2473017,Western Australia,Northern Europe
1956-1965,214,3408,796296,1676721,2473017,Western Australia,Northern Europe
1966-1975,806,3408,796296,1676721,2473017,Western Australia,Northern Europe
1976-1985,380,3408,796296,1676721,2473017,Western Australia,Northern Europe
1986-1995,411,3408,796296,1676721,2473017,Western Australia,Northern Europe
1996-2005,427,3408,796296,1676721,2473017,Western Australia,Northern Europe
2006-2015,3695,5651,796296,1676721,2473017,Western Australia,Central Asia
1900-1945,0,5651,796296,1676721,2473017,Western Australia,Central Asia
1946-1955,0,5651,796296,1676721,2473017,Western Australia,Central Asia
1956-1965,6,5651,796296,1676721,2473017,Western Australia,Central Asia
1966-1975,6,5651,796296,1676721,2473017,Western Australia,Central Asia
1976-1985,44,5651,796296,1676721,2473017,Western Australia,Central Asia
1986-1995,330,5651,796296,1676721,2473017,Western Australia,Central Asia
1996-2005,1254,5651,796296,1676721,2473017,Western Australia,Central Asia
2006-2015,598,2022,45293,183429,228722,Northern Territory,Western Europe
1900-1945,0,2022,45293,183429,228722,Northern Territory,Western Europe
1946-1955,204,2022,45293,183429,228722,Northern Territory,Western Europe
1956-1965,211,2022,45293,183429,228722,Northern Territory,Western Europe
1966-1975,285,2022,45293,183429,228722,Northern Territory,Western Europe
1976-1985,173,2022,45293,183429,228722,Northern Territory,Western Europe
1986-1995,133,2022,45293,183429,228722,Northern Territory,Western Europe
1996-2005,222,2022,45293,183429,228722,Northern Territory,Western Europe
2006-2015,1424,3632,383274,1292558,1675832,South Australia,North Africa
1900-1945,4,3632,383274,1292558,1675832,South Australia,North Africa
1946-1955,166,3632,383274,1292558,1675832,South Australia,North Africa
1956-1965,247,3632,383274,1292558,1675832,South Australia,North Africa
1966-1975,143,3632,383274,1292558,1675832,South Australia,North Africa
1976-1985,82,3632,383274,1292558,1675832,South Australia,North Africa
1986-1995,188,3632,383274,1292558,1675832,South Australia,North Africa
1996-2005,1174,3632,383274,1292558,1675832,South Australia,North Africa
2006-2015,21281,243323,6148891,17238226,23387117,Total,Southern Europe
1900-1945,1640,243323,6148891,17238226,23387117,Total,Southern Europe
1946-1955,49076,243323,6148891,17238226,23387117,Total,Southern Europe
1956-1965,82053,243323,6148891,17238226,23387117,Total,Southern Europe
1966-1975,49583,243323,6148891,17238226,23387117,Total,Southern Europe
1976-1985,12820,243323,6148891,17238226,23387117,Total,Southern Europe
1986-1995,7909,243323,6148891,17238226,23387117,Total,Southern Europe
1996-2005,5562,243323,6148891,17238226,23387117,Total,Southern Europe
2006-2015,408,2326,104898,292235,397133,Australian Capital Territory,Eastern Europe
1900-1945,4,2326,104898,292235,397133,Australian Capital Territory,Eastern Europe
1946-1955,324,2326,104898,292235,397133,Australian Capital Territory,Eastern Europe
1956-1965,220,2326,104898,292235,397133,Australian Capital Territory,Eastern Europe
1966-1975,159,2326,104898,292235,397133,Australian Capital Territory,Eastern Europe
1976-1985,351,2326,104898,292235,397133,Australian Capital Territory,Eastern Europe
1986-1995,466,2326,104898,292235,397133,Australian Capital Territory,Eastern Europe
1996-2005,314,2326,104898,292235,397133,Australian Capital Territory,Eastern Europe
2006-2015,179,521,61071,448728,509799,Tasmania,North Africa
1900-1945,0,521,61071,448728,509799,Tasmania,North Africa
1946-1955,20,521,61071,448728,509799,Tasmania,North Africa
1956-1965,19,521,61071,448728,509799,Tasmania,North Africa
1966-1975,19,521,61071,448728,509799,Tasmania,North Africa
1976-1985,17,521,61071,448728,509799,Tasmania,North Africa
1986-1995,10,521,61071,448728,509799,Tasmania,North Africa
1996-2005,210,521,61071,448728,509799,Tasmania,North Africa
2006-2015,2998,5217,383274,1292558,1675832,South Australia,Japan and the Koreas
1900-1945,0,5217,383274,1292558,1675832,South Australia,Japan and the Koreas
1946-1955,29,5217,383274,1292558,1675832,South Australia,Japan and the Koreas
1956-1965,21,5217,383274,1292558,1675832,South Australia,Japan and the Koreas
1966-1975,42,5217,383274,1292558,1675832,South Australia,Japan and the Koreas
1976-1985,159,5217,383274,1292558,1675832,South Australia,Japan and the Koreas
1986-1995,375,5217,383274,1292558,1675832,South Australia,Japan and the Koreas
1996-2005,1110,5217,383274,1292558,1675832,South Australia,Japan and the Koreas
2006-2015,31209,41113,383274,1292558,1675832,South Australia,Southern Asia
1900-1945,19,41113,383274,1292558,1675832,South Australia,Southern Asia
1946-1955,214,41113,383274,1292558,1675832,South Australia,Southern Asia
1956-1965,267,41113,383274,1292558,1675832,South Australia,Southern Asia
1966-1975,895,41113,383274,1292558,1675832,South Australia,Southern Asia
1976-1985,579,41113,383274,1292558,1675832,South Australia,Southern Asia
1986-1995,1069,41113,383274,1292558,1675832,South Australia,Southern Asia
1996-2005,3354,41113,383274,1292558,1675832,South Australia,Southern Asia
2006-2015,826,4794,104898,292235,397133,Australian Capital Territory,Western Europe
1900-1945,7,4794,104898,292235,397133,Australian Capital Territory,Western Europe
1946-1955,1163,4794,104898,292235,397133,Australian Capital Territory,Western Europe
1956-1965,865,4794,104898,292235,397133,Australian Capital Territory,Western Europe
1966-1975,537,4794,104898,292235,397133,Australian Capital Territory,Western Europe
1976-1985,344,4794,104898,292235,397133,Australian Capital Territory,Western Europe
1986-1995,364,4794,104898,292235,397133,Australian Capital Territory,Western Europe
1996-2005,498,4794,104898,292235,397133,Australian Capital Territory,Western Europe
2006-2015,163520,264961,1675076,4246361,5921437,Victoria,Southern Asia
1900-1945,84,264961,1675076,4246361,5921437,Victoria,Southern Asia
1946-1955,725,264961,1675076,4246361,5921437,Victoria,Southern Asia
1956-1965,1436,264961,1675076,4246361,5921437,Victoria,Southern Asia
1966-1975,9196,264961,1675076,4246361,5921437,Victoria,Southern Asia
1976-1985,6437,264961,1675076,4246361,5921437,Victoria,Southern Asia
1986-1995,20599,264961,1675076,4246361,5921437,Victoria,Southern Asia
1996-2005,42320,264961,1675076,4246361,5921437,Victoria,Southern Asia
2006-2015,3240,4415,61071,448728,509799,Tasmania,Southern Asia
1900-1945,5,4415,61071,448728,509799,Tasmania,Southern Asia
1946-1955,38,4415,61071,448728,509799,Tasmania,Southern Asia
1956-1965,56,4415,61071,448728,509799,Tasmania,Southern Asia
1966-1975,137,4415,61071,448728,509799,Tasmania,Southern Asia
1976-1985,83,4415,61071,448728,509799,Tasmania,Southern Asia
1986-1995,143,4415,61071,448728,509799,Tasmania,Southern Asia
1996-2005,301,4415,61071,448728,509799,Tasmania,Southern Asia
2006-2015,8755,17221,796296,1676721,2473017,Western Australia,Middle East
1900-1945,26,17221,796296,1676721,2473017,Western Australia,Middle East
1946-1955,64,17221,796296,1676721,2473017,Western Australia,Middle East
1956-1965,128,17221,796296,1676721,2473017,Western Australia,Middle East
1966-1975,640,17221,796296,1676721,2473017,Western Australia,Middle East
1976-1985,838,17221,796296,1676721,2473017,Western Australia,Middle East
1986-1995,1996,17221,796296,1676721,2473017,Western Australia,Middle East
1996-2005,3622,17221,796296,1676721,2473017,Western Australia,Middle East
2006-2015,176,476,1013715,3687318,4701033,Queensland,Micronesia
1900-1945,0,476,1013715,3687318,4701033,Queensland,Micronesia
1946-1955,0,476,1013715,3687318,4701033,Queensland,Micronesia
1956-1965,26,476,1013715,3687318,4701033,Queensland,Micronesia
1966-1975,37,476,1013715,3687318,4701033,Queensland,Micronesia
1976-1985,41,476,1013715,3687318,4701033,Queensland,Micronesia
1986-1995,54,476,1013715,3687318,4701033,Queensland,Micronesia
1996-2005,105,476,1013715,3687318,4701033,Queensland,Micronesia
2006-2015,11489,28763,1675076,4246361,5921437,Victoria,Northern America
1900-1945,47,28763,1675076,4246361,5921437,Victoria,Northern America
1946-1955,238,28763,1675076,4246361,5921437,Victoria,Northern America
1956-1965,682,28763,1675076,4246361,5921437,Victoria,Northern America
1966-1975,2784,28763,1675076,4246361,5921437,Victoria,Northern America
1976-1985,2529,28763,1675076,4246361,5921437,Victoria,Northern America
1986-1995,3279,28763,1675076,4246361,5921437,Victoria,Northern America
1996-2005,5699,28763,1675076,4246361,5921437,Victoria,Northern America
2006-2015,9789,18343,1013715,3687318,4701033,Queensland,South America
1900-1945,4,18343,1013715,3687318,4701033,Queensland,South America
1946-1955,31,18343,1013715,3687318,4701033,Queensland,South America
1956-1965,120,18343,1013715,3687318,4701033,Queensland,South America
1966-1975,1447,18343,1013715,3687318,4701033,Queensland,South America
1976-1985,1147,18343,1013715,3687318,4701033,Queensland,South America
1986-1995,1378,18343,1013715,3687318,4701033,Queensland,South America
1996-2005,2155,18343,1013715,3687318,4701033,Queensland,South America
2006-2015,12052,19909,1675076,4246361,5921437,Victoria,Central Asia
1900-1945,0,19909,1675076,4246361,5921437,Victoria,Central Asia
1946-1955,13,19909,1675076,4246361,5921437,Victoria,Central Asia
1956-1965,15,19909,1675076,4246361,5921437,Victoria,Central Asia
1966-1975,73,19909,1675076,4246361,5921437,Victoria,Central Asia
1976-1985,207,19909,1675076,4246361,5921437,Victoria,Central Asia
1986-1995,1828,19909,1675076,4246361,5921437,Victoria,Central Asia
1996-2005,4477,19909,1675076,4246361,5921437,Victoria,Central Asia
2006-2015,57915,140950,1675076,4246361,5921437,Victoria,Maritime South-East Asia
1900-1945,128,140950,1675076,4246361,5921437,Victoria,Maritime South-East Asia
1946-1955,356,140950,1675076,4246361,5921437,Victoria,Maritime South-East Asia
1956-1965,1134,140950,1675076,4246361,5921437,Victoria,Maritime South-East Asia
1966-1975,4459,140950,1675076,4246361,5921437,Victoria,Maritime South-East Asia
1976-1985,13774,140950,1675076,4246361,5921437,Victoria,Maritime South-East Asia
1986-1995,26362,140950,1675076,4246361,5921437,Victoria,Maritime South-East Asia
1996-2005,26764,140950,1675076,4246361,5921437,Victoria,Maritime South-East Asia
2006-2015,346,1306,6148891,17238226,23387117,Total,Micronesia
1900-1945,12,1306,6148891,17238226,23387117,Total,Micronesia
1946-1955,23,1306,6148891,17238226,23387117,Total,Micronesia
1956-1965,92,1306,6148891,17238226,23387117,Total,Micronesia
1966-1975,132,1306,6148891,17238226,23387117,Total,Micronesia
1976-1985,163,1306,6148891,17238226,23387117,Total,Micronesia
1986-1995,149,1306,6148891,17238226,23387117,Total,Micronesia
1996-2005,281,1306,6148891,17238226,23387117,Total,Micronesia
2006-2015,4619,9098,2067794,5407771,7475565,New South Wales,Central and West Africa
1900-1945,0,9098,2067794,5407771,7475565,New South Wales,Central and West Africa
1946-1955,10,9098,2067794,5407771,7475565,New South Wales,Central and West Africa
1956-1965,76,9098,2067794,5407771,7475565,New South Wales,Central and West Africa
1966-1975,244,9098,2067794,5407771,7475565,New South Wales,Central and West Africa
1976-1985,321,9098,2067794,5407771,7475565,New South Wales,Central and West Africa
1986-1995,808,9098,2067794,5407771,7475565,New South Wales,Central and West Africa
1996-2005,2211,9098,2067794,5407771,7475565,New South Wales,Central and West Africa
2006-2015,129,1026,383274,1292558,1675832,South Australia,Melanesia
1900-1945,37,1026,383274,1292558,1675832,South Australia,Melanesia
1946-1955,25,1026,383274,1292558,1675832,South Australia,Melanesia
1956-1965,85,1026,383274,1292558,1675832,South Australia,Melanesia
1966-1975,322,1026,383274,1292558,1675832,South Australia,Melanesia
1976-1985,185,1026,383274,1292558,1675832,South Australia,Melanesia
1986-1995,85,1026,383274,1292558,1675832,South Australia,Melanesia
1996-2005,68,1026,383274,1292558,1675832,South Australia,Melanesia
2006-2015,1468,10614,383274,1292558,1675832,South Australia,Eastern Europe
1900-1945,36,10614,383274,1292558,1675832,South Australia,Eastern Europe
1946-1955,1972,10614,383274,1292558,1675832,South Australia,Eastern Europe
1956-1965,1029,10614,383274,1292558,1675832,South Australia,Eastern Europe
1966-1975,662,10614,383274,1292558,1675832,South Australia,Eastern Europe
1976-1985,1804,10614,383274,1292558,1675832,South Australia,Eastern Europe
1986-1995,2057,10614,383274,1292558,1675832,South Australia,Eastern Europe
1996-2005,1157,10614,383274,1292558,1675832,South Australia,Eastern Europe
2006-2015,7668,78775,2067794,5407771,7475565,New South Wales,Southern Europe
1900-1945,479,78775,2067794,5407771,7475565,New South Wales,Southern Europe
1946-1955,14007,78775,2067794,5407771,7475565,New South Wales,Southern Europe
1956-1965,24035,78775,2067794,5407771,7475565,New South Wales,Southern Europe
1966-1975,18109,78775,2067794,5407771,7475565,New South Wales,Southern Europe
1976-1985,4856,78775,2067794,5407771,7475565,New South Wales,Southern Europe
1986-1995,3257,78775,2067794,5407771,7475565,New South Wales,Southern Europe
1996-2005,1971,78775,2067794,5407771,7475565,New South Wales,Southern Europe
2006-2015,15510,30738,1013715,3687318,4701033,Queensland,Japan and the Koreas
1900-1945,8,30738,1013715,3687318,4701033,Queensland,Japan and the Koreas
1946-1955,88,30738,1013715,3687318,4701033,Queensland,Japan and the Koreas
1956-1965,70,30738,1013715,3687318,4701033,Queensland,Japan and the Koreas
1966-1975,195,30738,1013715,3687318,4701033,Queensland,Japan and the Koreas
1976-1985,570,30738,1013715,3687318,4701033,Queensland,Japan and the Koreas
1986-1995,2943,30738,1013715,3687318,4701033,Queensland,Japan and the Koreas
1996-2005,7363,30738,1013715,3687318,4701033,Queensland,Japan and the Koreas
