Imm_value,Year_range,Total_imm,State_Total,State_Native,Cont_origin,State
1132,1956-1965,1357273,4701093,3343820,Sub-Saharan Africa,Queensland
2596,1966-1975,1357273,4701093,3343820,Sub-Saharan Africa,Queensland
4608,1976-1985,1357273,4701093,3343820,Sub-Saharan Africa,Queensland
4950,1986-1995,1357273,4701093,3343820,Sub-Saharan Africa,Queensland
19142,1996-2005,1357273,4701093,3343820,Sub-Saharan Africa,Queensland
31827,2006-2015,1357273,4701093,3343820,Sub-Saharan Africa,Queensland
12,1900-1945,98312,509807,411495,Southern and Eastern Europe,Tasmania
589,1946-1955,98312,509807,411495,Southern and Eastern Europe,Tasmania
954,1956-1965,98312,509807,411495,Southern and Eastern Europe,Tasmania
620,1966-1975,98312,509807,411495,Southern and Eastern Europe,Tasmania
372,1976-1985,98312,509807,411495,Southern and Eastern Europe,Tasmania
342,1986-1995,98312,509807,411495,Southern and Eastern Europe,Tasmania
292,1996-2005,98312,509807,411495,Southern and Eastern Europe,Tasmania
379,2006-2015,98312,509807,411495,Southern and Eastern Europe,Tasmania
80,1900-1945,980182,2473041,1492859,Oceania and Antarctica,Western Australia
194,1946-1955,980182,2473041,1492859,Oceania and Antarctica,Western Australia
847,1956-1965,980182,2473041,1492859,Oceania and Antarctica,Western Australia
4645,1966-1975,980182,2473041,1492859,Oceania and Antarctica,Western Australia
10460,1976-1985,980182,2473041,1492859,Oceania and Antarctica,Western Australia
13571,1986-1995,980182,2473041,1492859,Oceania and Antarctica,Western Australia
14280,1996-2005,980182,2473041,1492859,Oceania and Antarctica,Western Australia
36086,2006-2015,980182,2473041,1492859,Oceania and Antarctica,Western Australia
17,1900-1945,127100,397139,270039,Southern and Eastern Europe,Australian Capital Territory
930,1946-1955,127100,397139,270039,Southern and Eastern Europe,Australian Capital Territory
2145,1956-1965,127100,397139,270039,Southern and Eastern Europe,Australian Capital Territory
2361,1966-1975,127100,397139,270039,Southern and Eastern Europe,Australian Capital Territory
876,1976-1985,127100,397139,270039,Southern and Eastern Europe,Australian Capital Territory
1165,1986-1995,127100,397139,270039,Southern and Eastern Europe,Australian Capital Territory
893,1996-2005,127100,397139,270039,Southern and Eastern Europe,Australian Capital Territory
1122,2006-2015,127100,397139,270039,Southern and Eastern Europe,Australian Capital Territory
3,1900-1945,127100,397139,270039,Sub-Saharan Africa,Australian Capital Territory
20,1946-1955,127100,397139,270039,Sub-Saharan Africa,Australian Capital Territory
136,1956-1965,127100,397139,270039,Sub-Saharan Africa,Australian Capital Territory
254,1966-1975,127100,397139,270039,Sub-Saharan Africa,Australian Capital Territory
406,1976-1985,127100,397139,270039,Sub-Saharan Africa,Australian Capital Territory
490,1986-1995,127100,397139,270039,Sub-Saharan Africa,Australian Capital Territory
1116,1996-2005,127100,397139,270039,Sub-Saharan Africa,Australian Capital Territory
2399,2006-2015,127100,397139,270039,Sub-Saharan Africa,Australian Capital Territory
34,1900-1945,2076071,5921586,3845515,Sub-Saharan Africa,Victoria
178,1946-1955,2076071,5921586,3845515,Sub-Saharan Africa,Victoria
1186,1956-1965,2076071,5921586,3845515,Sub-Saharan Africa,Victoria
5218,1966-1975,2076071,5921586,3845515,Sub-Saharan Africa,Victoria
6152,1976-1985,2076071,5921586,3845515,Sub-Saharan Africa,Victoria
10008,1986-1995,2076071,5921586,3845515,Sub-Saharan Africa,Victoria
17493,1996-2005,2076071,5921586,3845515,Sub-Saharan Africa,Victoria
26693,2006-2015,2076071,5921586,3845515,Sub-Saharan Africa,Victoria
18,1900-1945,127100,397139,270039,North-East Asia,Australian Capital Territory
57,1946-1955,127100,397139,270039,North-East Asia,Australian Capital Territory
124,1956-1965,127100,397139,270039,North-East Asia,Australian Capital Territory
227,1966-1975,127100,397139,270039,North-East Asia,Australian Capital Territory
623,1976-1985,127100,397139,270039,North-East Asia,Australian Capital Territory
1707,1986-1995,127100,397139,270039,North-East Asia,Australian Capital Territory
3083,1996-2005,127100,397139,270039,North-East Asia,Australian Capital Territory
8854,2006-2015,127100,397139,270039,North-East Asia,Australian Capital Territory
762,1900-1945,2576600,7475802,4899202,Oceania and Antarctica,New South Wales
1181,1946-1955,2576600,7475802,4899202,Oceania and Antarctica,New South Wales
4265,1956-1965,2576600,7475802,4899202,Oceania and Antarctica,New South Wales
13511,1966-1975,2576600,7475802,4899202,Oceania and Antarctica,New South Wales
27386,1976-1985,2576600,7475802,4899202,Oceania and Antarctica,New South Wales
36601,1986-1995,2576600,7475802,4899202,Oceania and Antarctica,New South Wales
41594,1996-2005,2576600,7475802,4899202,Oceania and Antarctica,New South Wales
41137,2006-2015,2576600,7475802,4899202,Oceania and Antarctica,New South Wales
58,1900-1945,980182,2473041,1492859,Southern and Central Asia,Western Australia
806,1946-1955,980182,2473041,1492859,Southern and Central Asia,Western Australia
667,1956-1965,980182,2473041,1492859,Southern and Central Asia,Western Australia
4579,1966-1975,980182,2473041,1492859,Southern and Central Asia,Western Australia
1735,1976-1985,980182,2473041,1492859,Southern and Central Asia,Western Australia
4303,1986-1995,980182,2473041,1492859,Southern and Central Asia,Western Australia
8255,1996-2005,980182,2473041,1492859,Southern and Central Asia,Western Australia
48833,2006-2015,980182,2473041,1492859,Southern and Central Asia,Western Australia
4,1900-1945,71192,228723,157531,North-West Europe,Northern Territory
484,1946-1955,71192,228723,157531,North-West Europe,Northern Territory
1112,1956-1965,71192,228723,157531,North-West Europe,Northern Territory
1917,1966-1975,71192,228723,157531,North-West Europe,Northern Territory
817,1976-1985,71192,228723,157531,North-West Europe,Northern Territory
727,1986-1995,71192,228723,157531,North-West Europe,Northern Territory
946,1996-2005,71192,228723,157531,North-West Europe,Northern Territory
3347,2006-2015,71192,228723,157531,North-West Europe,Northern Territory
270,1900-1945,483284,1675834,1192550,Southern and Eastern Europe,South Australia
9147,1946-1955,483284,1675834,1192550,Southern and Eastern Europe,South Australia
16137,1956-1965,483284,1675834,1192550,Southern and Eastern Europe,South Australia
8594,1966-1975,483284,1675834,1192550,Southern and Eastern Europe,South Australia
3604,1976-1985,483284,1675834,1192550,Southern and Eastern Europe,South Australia
4520,1986-1995,483284,1675834,1192550,Southern and Eastern Europe,South Australia
4547,1996-2005,483284,1675834,1192550,Southern and Eastern Europe,South Australia
3550,2006-2015,483284,1675834,1192550,Southern and Eastern Europe,South Australia
34,1900-1945,483284,1675834,1192550,North Africa and the Middle East,South Australia
265,1946-1955,483284,1675834,1192550,North Africa and the Middle East,South Australia
407,1956-1965,483284,1675834,1192550,North Africa and the Middle East,South Australia
774,1966-1975,483284,1675834,1192550,North Africa and the Middle East,South Australia
675,1976-1985,483284,1675834,1192550,North Africa and the Middle East,South Australia
1188,1986-1995,483284,1675834,1192550,North Africa and the Middle East,South Australia
3190,1996-2005,483284,1675834,1192550,North Africa and the Middle East,South Australia
7458,2006-2015,483284,1675834,1192550,North Africa and the Middle East,South Australia
40,1900-1945,1357273,4701093,3343820,Americas,Queensland
329,1946-1955,1357273,4701093,3343820,Americas,Queensland
1022,1956-1965,1357273,4701093,3343820,Americas,Queensland
5220,1966-1975,1357273,4701093,3343820,Americas,Queensland
4078,1976-1985,1357273,4701093,3343820,Americas,Queensland
6760,1986-1995,1357273,4701093,3343820,Americas,Queensland
7881,1996-2005,1357273,4701093,3343820,Americas,Queensland
21575,2006-2015,1357273,4701093,3343820,Americas,Queensland
4,1900-1945,127100,397139,270039,North Africa and the Middle East,Australian Capital Territory
54,1946-1955,127100,397139,270039,North Africa and the Middle East,Australian Capital Territory
71,1956-1965,127100,397139,270039,North Africa and the Middle East,Australian Capital Territory
224,1966-1975,127100,397139,270039,North Africa and the Middle East,Australian Capital Territory
245,1976-1985,127100,397139,270039,North Africa and the Middle East,Australian Capital Territory
485,1986-1995,127100,397139,270039,North Africa and the Middle East,Australian Capital Territory
941,1996-2005,127100,397139,270039,North Africa and the Middle East,Australian Capital Territory
1989,2006-2015,127100,397139,270039,North Africa and the Middle East,Australian Capital Territory
32,1900-1945,483284,1675834,1192550,South-East Asia,South Australia
99,1946-1955,483284,1675834,1192550,South-East Asia,South Australia
383,1956-1965,483284,1675834,1192550,South-East Asia,South Australia
1217,1966-1975,483284,1675834,1192550,South-East Asia,South Australia
8175,1976-1985,483284,1675834,1192550,South-East Asia,South Australia
8849,1986-1995,483284,1675834,1192550,South-East Asia,South Australia
6285,1996-2005,483284,1675834,1192550,South-East Asia,South Australia
19255,2006-2015,483284,1675834,1192550,South-East Asia,South Australia
13,1900-1945,127100,397139,270039,South-East Asia,Australian Capital Territory
58,1946-1955,127100,397139,270039,South-East Asia,Australian Capital Territory
255,1956-1965,127100,397139,270039,South-East Asia,Australian Capital Territory
819,1966-1975,127100,397139,270039,South-East Asia,Australian Capital Territory
2429,1976-1985,127100,397139,270039,South-East Asia,Australian Capital Territory
2545,1986-1995,127100,397139,270039,South-East Asia,Australian Capital Territory
2200,1996-2005,127100,397139,270039,South-East Asia,Australian Capital Territory
5583,2006-2015,127100,397139,270039,South-East Asia,Australian Capital Territory
