City,Same_as_2016,Elsewhere_in_aus,Overseas,Not_stated,NA,Total,lat,lng,state,capital
Ulverstone,8282,4194,114,855,709,14155,-41.1667,146.1667,Tasmania,
Gisborne - Macedon,11576,6014,225,1066,1334,20219,-37.49,144.5889,Victoria,
Port Augusta,7205,3542,131,1781,860,13516,-32.4925,137.7658,South Australia,
Forster - Tuncurry,10129,7490,203,1812,822,20455,-32.1806,152.5117,New South Wales,
Lithgow,6714,3667,118,1552,765,12814,-33.4833,150.15,New South Wales,
Bowral - Mittagong,18453,13960,789,2631,1941,37773,-34.4792,150.4181,New South Wales,
Colac,6776,3577,198,950,743,12250,-38.3403,143.5847,Victoria,
Muswellbrook,5115,4690,225,1053,991,12072,-32.2654,150.8885,New South Wales,
Esperance,5818,3986,224,1326,752,12111,-33.8611,121.8919,Western Australia,
Nelson Bay,12694,10239,470,2200,1141,26747,-32.715,152.1511,New South Wales,
Parkes,5670,3394,137,1027,752,10983,-33.095,148.2628,New South Wales,
Batemans Bay,7911,5884,183,1377,699,16046,-35.7081,150.1744,New South Wales,
Swan Hill,5285,3351,326,1183,760,10907,-35.3333,143.55,Victoria,
Mudgee,4848,4619,154,1141,968,11727,-32.6125,149.5872,New South Wales,
Portland,6086,3064,85,952,602,10799,-38.3333,141.6,Victoria,
Kingaroy,4439,4296,120,695,744,10288,-26.5333,151.8333,Queensland,
Yanchep,3451,5418,786,1182,1023,11856,-31.55,115.634,Western Australia,
Moe - Newborough,9451,4651,123,1429,887,16550,-38.1722,146.2678,Victoria,
Melton,27807,20379,2084,4324,5291,59894,-37.6833,144.5833,Victoria,
Maryborough,13730,8956,179,2610,1454,26930,-37.05,143.735,Victoria,
Bairnsdale,7026,4959,219,1619,903,14726,-37.8333,147.6167,Victoria,
Emerald,4871,5315,466,1578,1301,13529,-37.9331,145.437,Victoria,
Victor Harbor - Goolwa,13126,9432,258,1748,951,25507,-35.55,138.6167,South Australia,
Camden Haven,8933,5824,133,1192,659,16743,-34.0544,150.6958,New South Wales,
Central Coast,164297,110669,5722,20185,18805,319681,-33.42,151.3,New South Wales,
Perth,886361,616921,156042,124007,124511,1907836,-41.5731,147.1714,Tasmania,
St Georges Basin,8936,6940,170,1263,888,18197,-35.13,150.6269,New South Wales,
Morisset - Cooranbong,12113,8612,317,1363,1271,23676,-33.115,151.5011,New South Wales,
Sunshine Coast,132355,127665,11778,19832,15914,307545,-26.65,152.0667,Queensland,
